T, [([], '1'), ('A', '1')],0,1
A', [([], '1'), ('A', '0')],1,1
B', [([], '1'), ('B', '0')],1,1
C', [([], '1'), ('C', '0')],1,1
D', [([], '1'), ('D', '0')],1,1
A, [([], '0'), ('A', '1')],1,1
F, [([], '0'), ('A', '0')],0,1
B, [([], '0'), ('B', '1')],1,1
C, [([], '0'), ('C', '1')],1,1
D, [([], '0'), ('D', '1')],1,1
A'B', [([], '1'), ('A', '0'), ('B', '0')],2,2
A'C', [([], '1'), ('A', '0'), ('C', '0')],2,2
A'D', [([], '1'), ('A', '0'), ('D', '0')],2,2
B'C', [([], '1'), ('B', '0'), ('C', '0')],2,2
B'D', [([], '1'), ('B', '0'), ('D', '0')],2,2
C'D', [([], '1'), ('C', '0'), ('D', '0')],2,2
A+B, [([], '0'), ('A', '1'), ('B', '1')],2,2
A+C, [([], '0'), ('A', '1'), ('C', '1')],2,2
A+D, [([], '0'), ('A', '1'), ('D', '1')],2,2
B+C, [([], '0'), ('B', '1'), ('C', '1')],2,2
B+D, [([], '0'), ('B', '1'), ('D', '1')],2,2
C+D, [([], '0'), ('C', '1'), ('D', '1')],2,2
A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0')],3,3
A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0')],3,3
A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0')],3,3
B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0')],3,3
A+B+C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1')],3,3
A+B+D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1')],3,3
A+C+D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1')],3,3
B+C+D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1')],3,3
A'+B, [([], '1'), ('A', '0'), (('A', 'B'), '1')],2,3
A'+C, [([], '1'), ('A', '0'), (('A', 'C'), '1')],2,3
A'+D, [([], '1'), ('A', '0'), (('A', 'D'), '1')],2,3
A+B', [([], '1'), ('B', '0'), (('A', 'B'), '1')],2,3
B'+C, [([], '1'), ('B', '0'), (('B', 'C'), '1')],2,3
B'+D, [([], '1'), ('B', '0'), (('B', 'D'), '1')],2,3
A+C', [([], '1'), ('C', '0'), (('A', 'C'), '1')],2,3
B+C', [([], '1'), ('C', '0'), (('B', 'C'), '1')],2,3
C'+D, [([], '1'), ('C', '0'), (('C', 'D'), '1')],2,3
A+D', [([], '1'), ('D', '0'), (('A', 'D'), '1')],2,3
B+D', [([], '1'), ('D', '0'), (('B', 'D'), '1')],2,3
C+D', [([], '1'), ('D', '0'), (('C', 'D'), '1')],2,3
AB', [([], '0'), ('A', '1'), (('A', 'B'), '0')],2,3
AC', [([], '0'), ('A', '1'), (('A', 'C'), '0')],2,3
AD', [([], '0'), ('A', '1'), (('A', 'D'), '0')],2,3
A'B, [([], '0'), ('B', '1'), (('A', 'B'), '0')],2,3
BC', [([], '0'), ('B', '1'), (('B', 'C'), '0')],2,3
BD', [([], '0'), ('B', '1'), (('B', 'D'), '0')],2,3
A'C, [([], '0'), ('C', '1'), (('A', 'C'), '0')],2,3
B'C, [([], '0'), ('C', '1'), (('B', 'C'), '0')],2,3
CD', [([], '0'), ('C', '1'), (('C', 'D'), '0')],2,3
A'D, [([], '0'), ('D', '1'), (('A', 'D'), '0')],2,3
B'D, [([], '0'), ('D', '1'), (('B', 'D'), '0')],2,3
C'D, [([], '0'), ('D', '1'), (('C', 'D'), '0')],2,3
A'B'C'D', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('D', '0')],4,4
A+B+C+D, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('D', '1')],4,4
A'+B', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],2,4
AB+B'D', [([], '1'), ('A', '1'), ('B', '0'), (('A', 'B'), '1'), (('A', 'D'), '0')],4,6
A'C+B'C', [([], '1'), ('A', '1'), ('B', '0'), (('A', 'C'), '0'), (('B', 'C'), '1')],4,6
A'D+B'D', [([], '1'), ('A', '1'), ('B', '0'), (('A', 'D'), '0'), (('B', 'D'), '1')],4,6
A'+C'D', [([], '1'), ('A', '1'), ('C', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],3,6
C'+A'B', [([], '1'), ('A', '1'), ('C', '1'), (('A', 'C'), '0'), (('B', 'C'), '0')],3,6
C'+A'D', [([], '1'), ('A', '1'), ('C', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],3,6
A'B+B'C', [([], '1'), ('A', '1'), ('C', '0'), (('A', 'B'), '0'), (('B', 'C'), '1')],4,6
AC+C'D', [([], '1'), ('A', '1'), ('C', '0'), (('A', 'C'), '1'), (('A', 'D'), '0')],4,6
A'D+C'D', [([], '1'), ('A', '1'), ('C', '0'), (('A', 'D'), '0'), (('C', 'D'), '1')],4,6
D'+A'B', [([], '1'), ('A', '1'), ('D', '1'), (('A', 'D'), '0'), (('B', 'D'), '0')],3,6
D'+A'C', [([], '1'), ('A', '1'), ('D', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],3,6
A'B+B'D', [([], '1'), ('A', '1'), ('D', '0'), (('A', 'B'), '0'), (('B', 'D'), '1')],4,6
A'C+C'D', [([], '1'), ('A', '1'), ('D', '0'), (('A', 'C'), '0'), (('C', 'D'), '1')],4,6
AB+A'C', [([], '1'), ('A', '0'), ('B', '1'), (('A', 'B'), '1'), (('B', 'C'), '0')],4,6
AB+A'D', [([], '1'), ('A', '0'), ('B', '1'), (('A', 'B'), '1'), (('B', 'D'), '0')],4,6
C+AB+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'B'), '1'), (('A', 'C'), '1')],5,6
D+AB+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'B'), '1'), (('A', 'D'), '1')],5,6
C+D+A'B', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'C'), '1'), (('A', 'D'), '1')],4,6
AD+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), (('A', 'D'), '1'), (('C', 'D'), '0')],5,6
BD+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), (('B', 'D'), '1'), (('C', 'D'), '0')],5,6
AC+A'D', [([], '1'), ('A', '0'), ('C', '1'), (('A', 'C'), '1'), (('C', 'D'), '0')],4,6
B+AC+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'B'), '1'), (('A', 'C'), '1')],5,6
B+D+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'B'), '1'), (('A', 'D'), '1')],4,6
D+AC+A'C', [([], '1'), ('A', '0'), ('C', '0'), (('A', 'C'), '1'), (('A', 'D'), '1')],5,6
B'D+A'B'C', [([], '1'), ('A', '0'), ('C', '0'), (('B', 'D'), '0'), (('C', 'D'), '1')],5,6
B+C+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'B'), '1'), (('A', 'C'), '1')],4,6
B+AD+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'B'), '1'), (('A', 'D'), '1')],5,6
C+AD+A'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'C'), '1'), (('A', 'D'), '1')],5,6
AC+A'B'D', [([], '1'), ('A', '0'), ('D', '0'), (('A', 'C'), '1'), (('B', 'C'), '0')],5,6
B'C+A'B'D', [([], '1'), ('A', '0'), ('D', '0'), (('B', 'C'), '0'), (('C', 'D'), '1')],5,6
B'+C'D', [([], '1'), ('B', '1'), ('C', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],3,6
C'+B'D', [([], '1'), ('B', '1'), ('C', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],3,6
BC+C'D', [([], '1'), ('B', '1'), ('C', '0'), (('B', 'C'), '1'), (('B', 'D'), '0')],4,6
B'D+C'D', [([], '1'), ('B', '1'), ('C', '0'), (('B', 'D'), '0'), (('C', 'D'), '1')],4,6
D'+B'C', [([], '1'), ('B', '1'), ('D', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],3,6
B'C+C'D', [([], '1'), ('B', '1'), ('D', '0'), (('B', 'C'), '0'), (('C', 'D'), '1')],4,6
BC+B'D', [([], '1'), ('B', '0'), ('C', '1'), (('B', 'C'), '1'), (('C', 'D'), '0')],4,6
A+BC+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('A', 'B'), '1'), (('B', 'C'), '1')],5,6
A+D+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('A', 'B'), '1'), (('B', 'D'), '1')],4,6
AB'+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('A', 'B'), '0'), (('A', 'C'), '1')],4,6
A'D+A'B'C', [([], '1'), ('B', '0'), ('C', '0'), (('A', 'D'), '0'), (('B', 'D'), '1')],5,6
D+BC+B'C', [([], '1'), ('B', '0'), ('C', '0'), (('B', 'C'), '1'), (('B', 'D'), '1')],5,6
A+C+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('A', 'B'), '1'), (('B', 'C'), '1')],4,6
A+BD+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('A', 'B'), '1'), (('B', 'D'), '1')],5,6
AB'+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('A', 'B'), '0'), (('A', 'D'), '1')],4,6
A'C+A'B'D', [([], '1'), ('B', '0'), ('D', '0'), (('A', 'C'), '0'), (('B', 'C'), '1')],5,6
C+BD+B'D', [([], '1'), ('B', '0'), ('D', '0'), (('B', 'C'), '1'), (('B', 'D'), '1')],5,6
A'B+A'C'D', [([], '1'), ('C', '0'), ('D', '0'), (('A', 'B'), '0'), (('B', 'C'), '1')],5,6
A+B+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('A', 'C'), '1'), (('B', 'C'), '1')],4,6
A+CD+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('A', 'C'), '1'), (('C', 'D'), '1')],5,6
AC'+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('A', 'C'), '0'), (('A', 'D'), '1')],4,6
B+CD+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('B', 'C'), '1'), (('C', 'D'), '1')],5,6
BC'+C'D', [([], '1'), ('C', '0'), ('D', '0'), (('B', 'C'), '0'), (('B', 'D'), '1')],4,6
A'B+AB'C', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('A', 'C'), '0')],5,6
A'B+AB'D', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],5,6
AB'+A'BC', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('B', 'C'), '0')],5,6
AB'+A'BD', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],5,6
B+AC'D', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],4,6
AC'+BC', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'C'), '0'), (('B', 'C'), '0')],4,6
AC'+BD', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'C'), '0'), (('B', 'D'), '0')],4,6
AD'+BC', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'D'), '0'), (('B', 'C'), '0')],4,6
AD'+BD', [([], '0'), ('A', '1'), ('B', '1'), (('A', 'D'), '0'), (('B', 'D'), '0')],4,6
A+BC'D', [([], '0'), ('A', '1'), ('B', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],4,6
A'C+AB'C', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B'), '0'), (('A', 'C'), '0')],5,6
C+AB'D', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],4,6
AB'+B'C, [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B'), '0'), (('B', 'C'), '0')],4,6
AB'+CD', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B'), '0'), (('C', 'D'), '0')],4,6
A'C+AC'D', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],5,6
AC'+A'B'C, [([], '0'), ('A', '1'), ('C', '1'), (('A', 'C'), '0'), (('B', 'C'), '0')],5,6
AC'+A'CD', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],5,6
AD'+B'C, [([], '0'), ('A', '1'), ('C', '1'), (('A', 'D'), '0'), (('B', 'C'), '0')],4,6
AD'+CD', [([], '0'), ('A', '1'), ('C', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],4,6
A+B'CD', [([], '0'), ('A', '1'), ('C', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],4,6
D+AB'C', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B'), '0'), (('A', 'C'), '0')],4,6
A'D+AB'D', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],5,6
AB'+B'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],4,6
AB'+C'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B'), '0'), (('C', 'D'), '0')],4,6
A'D+AC'D', [([], '0'), ('A', '1'), ('D', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],5,6
AC'+B'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'C'), '0'), (('B', 'D'), '0')],4,6
AC'+C'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],4,6
AD'+A'B'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'D'), '0'), (('B', 'D'), '0')],5,6
AD'+A'C'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],5,6
A+B'C'D, [([], '0'), ('A', '1'), ('D', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],4,6
AC+BC', [([], '0'), ('A', '0'), ('B', '1'), (('A', 'C'), '1'), (('B', 'C'), '0')],4,6
AD+BD', [([], '0'), ('A', '0'), ('B', '1'), (('A', 'D'), '1'), (('B', 'D'), '0')],4,6
AB+B'C, [([], '0'), ('A', '0'), ('C', '1'), (('A', 'B'), '1'), (('B', 'C'), '0')],4,6
AD+CD', [([], '0'), ('A', '0'), ('C', '1'), (('A', 'D'), '1'), (('C', 'D'), '0')],4,6
AB+B'D, [([], '0'), ('A', '0'), ('D', '1'), (('A', 'B'), '1'), (('B', 'D'), '0')],4,6
AC+C'D, [([], '0'), ('A', '0'), ('D', '1'), (('A', 'C'), '1'), (('C', 'D'), '0')],4,6
B'C+A'BC', [([], '0'), ('B', '1'), ('C', '1'), (('A', 'B'), '0'), (('B', 'C'), '0')],5,6
C+A'BD', [([], '0'), ('B', '1'), ('C', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],4,6
A'B+CD', [([], '0'), ('B', '1'), ('C', '1'), (('A', 'B'), '0'), (('C', 'D'), '0')],4,6
BC'+A'B'C, [([], '0'), ('B', '1'), ('C', '1'), (('A', 'C'), '0'), (('B', 'C'), '0')],5,6
A'C+BD', [([], '0'), ('B', '1'), ('C', '1'), (('A', 'C'), '0'), (('B', 'D'), '0')],4,6
B+A'CD', [([], '0'), ('B', '1'), ('C', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],4,6
B'C+BC'D', [([], '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],5,6
BC'+B'CD', [([], '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],5,6
BD'+CD', [([], '0'), ('B', '1'), ('C', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],4,6
D+A'BC', [([], '0'), ('B', '1'), ('D', '1'), (('A', 'B'), '0'), (('B', 'C'), '0')],4,6
B'D+A'BD', [([], '0'), ('B', '1'), ('D', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],5,6
A'B+C'D, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'B'), '0'), (('C', 'D'), '0')],4,6
A'D+BC', [([], '0'), ('B', '1'), ('D', '1'), (('A', 'D'), '0'), (('B', 'C'), '0')],4,6
BD'+A'B'D, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'D'), '0'), (('B', 'D'), '0')],5,6
B+A'C'D, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],4,6
B'D+BC'D', [([], '0'), ('B', '1'), ('D', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],5,6
BC'+C'D, [([], '0'), ('B', '1'), ('D', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],4,6
BD'+B'C'D, [([], '0'), ('B', '1'), ('D', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],5,6
AB+A'C, [([], '0'), ('B', '0'), ('C', '1'), (('A', 'B'), '1'), (('A', 'C'), '0')],4,6
BD+CD', [([], '0'), ('B', '0'), ('C', '1'), (('B', 'D'), '1'), (('C', 'D'), '0')],4,6
AB+A'D, [([], '0'), ('B', '0'), ('D', '1'), (('A', 'B'), '1'), (('A', 'D'), '0')],4,6
BC+C'D, [([], '0'), ('B', '0'), ('D', '1'), (('B', 'C'), '1'), (('C', 'D'), '0')],4,6
D+A'B'C, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'C'), '0'), (('B', 'C'), '0')],4,6
A'C+B'D, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'C'), '0'), (('B', 'D'), '0')],4,6
C'D+A'CD', [([], '0'), ('C', '1'), ('D', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],5,6
A'D+B'C, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'D'), '0'), (('B', 'C'), '0')],4,6
C+A'B'D, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'D'), '0'), (('B', 'D'), '0')],4,6
CD'+A'C'D, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],5,6
C'D+B'CD', [([], '0'), ('C', '1'), ('D', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],5,6
CD'+B'C'D, [([], '0'), ('C', '1'), ('D', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],5,6
AC+A'D, [([], '0'), ('C', '0'), ('D', '1'), (('A', 'C'), '1'), (('A', 'D'), '0')],4,6
BC+B'D, [([], '0'), ('C', '0'), ('D', '1'), (('B', 'C'), '1'), (('B', 'D'), '0')],4,6
A'+BC', [([], '1'), ('A', '0'), (('A', 'B'), '1'), (('A', 'B', 'C'), '0')],3,6
A'+BD', [([], '1'), ('A', '0'), (('A', 'B'), '1'), (('A', 'B', 'D'), '0')],3,6
A'+B'C, [([], '1'), ('A', '0'), (('A', 'C'), '1'), (('A', 'B', 'C'), '0')],3,6
A'+CD', [([], '1'), ('A', '0'), (('A', 'C'), '1'), (('A', 'C', 'D'), '0')],3,6
A'+B'D, [([], '1'), ('A', '0'), (('A', 'D'), '1'), (('A', 'B', 'D'), '0')],3,6
A'+C'D, [([], '1'), ('A', '0'), (('A', 'D'), '1'), (('A', 'C', 'D'), '0')],3,6
B'+AC', [([], '1'), ('B', '0'), (('A', 'B'), '1'), (('A', 'B', 'C'), '0')],3,6
B'+AD', [([], '1'), ('B', '0'), (('A', 'B'), '1'), (('A', 'B', 'D'), '0')],3,6
B'+A'C, [([], '1'), ('B', '0'), (('B', 'C'), '1'), (('A', 'B', 'C'), '0')],3,6
B'+CD', [([], '1'), ('B', '0'), (('B', 'C'), '1'), (('B', 'C', 'D'), '0')],3,6
B'+A'D, [([], '1'), ('B', '0'), (('B', 'D'), '1'), (('A', 'B', 'D'), '0')],3,6
B'+C'D, [([], '1'), ('B', '0'), (('B', 'D'), '1'), (('B', 'C', 'D'), '0')],3,6
C'+AB', [([], '1'), ('C', '0'), (('A', 'C'), '1'), (('A', 'B', 'C'), '0')],3,6
C'+AD', [([], '1'), ('C', '0'), (('A', 'C'), '1'), (('A', 'C', 'D'), '0')],3,6
C'+A'B, [([], '1'), ('C', '0'), (('B', 'C'), '1'), (('A', 'B', 'C'), '0')],3,6
C'+BD', [([], '1'), ('C', '0'), (('B', 'C'), '1'), (('B', 'C', 'D'), '0')],3,6
C'+A'D, [([], '1'), ('C', '0'), (('C', 'D'), '1'), (('A', 'C', 'D'), '0')],3,6
C'+B'D, [([], '1'), ('C', '0'), (('C', 'D'), '1'), (('B', 'C', 'D'), '0')],3,6
D'+AB', [([], '1'), ('D', '0'), (('A', 'D'), '1'), (('A', 'B', 'D'), '0')],3,6
D'+AC', [([], '1'), ('D', '0'), (('A', 'D'), '1'), (('A', 'C', 'D'), '0')],3,6
D'+A'B, [([], '1'), ('D', '0'), (('B', 'D'), '1'), (('A', 'B', 'D'), '0')],3,6
D'+BC', [([], '1'), ('D', '0'), (('B', 'D'), '1'), (('B', 'C', 'D'), '0')],3,6
D'+A'C, [([], '1'), ('D', '0'), (('C', 'D'), '1'), (('A', 'C', 'D'), '0')],3,6
D'+B'C, [([], '1'), ('D', '0'), (('C', 'D'), '1'), (('B', 'C', 'D'), '0')],3,6
A'B'+C'D', [([], '1'), ('A', '1'), ('B', '1'), ('C', '1'), (('A', 'C'), '0'), (('B', 'D'), '0')],4,7
A'B+B'C'D', [([], '1'), ('A', '1'), ('B', '1'), ('C', '0'), (('A', 'B'), '0'), (('A', 'D'), '0')],5,7
D+AB'+A'C', [([], '1'), ('A', '1'), ('B', '1'), ('C', '0'), (('A', 'B'), '0'), (('C', 'D'), '1')],5,7
C+AB'+A'D', [([], '1'), ('A', '1'), ('B', '1'), ('D', '0'), (('A', 'B'), '0'), (('C', 'D'), '1')],5,7
A'B'+B'C', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), (('A', 'B'), '0'), (('A', 'C'), '0')],4,7
A'B'+AC'D', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],5,7
D+A'B'+AC', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), (('A', 'C'), '0'), (('B', 'D'), '1')],5,7
AB+B'C'D', [([], '1'), ('A', '1'), ('B', '0'), ('C', '0'), (('A', 'B'), '1'), (('A', 'D'), '0')],5,7
AC+B'C'D', [([], '1'), ('A', '1'), ('B', '0'), ('C', '0'), (('A', 'C'), '1'), (('A', 'D'), '0')],5,7
A'D+B'C'D', [([], '1'), ('A', '1'), ('B', '0'), ('C', '0'), (('A', 'D'), '0'), (('B', 'D'), '1')],5,7
A'B'+B'D', [([], '1'), ('A', '1'), ('B', '0'), ('D', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],4,7
C+A'B'+AD', [([], '1'), ('A', '1'), ('B', '0'), ('D', '1'), (('A', 'D'), '0'), (('B', 'C'), '1')],5,7
A'C+B'C'D', [([], '1'), ('A', '1'), ('B', '0'), ('D', '0'), (('A', 'C'), '0'), (('B', 'C'), '1')],5,7
A'C'+B'D', [([], '1'), ('A', '1'), ('C', '1'), ('D', '1'), (('A', 'B'), '0'), (('C', 'D'), '0')],4,7
B+AC'+A'D', [([], '1'), ('A', '1'), ('C', '1'), ('D', '0'), (('A', 'C'), '0'), (('B', 'D'), '1')],5,7
A'C'+AB'D', [([], '1'), ('A', '1'), ('C', '0'), ('D', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],5,7
A'C'+C'D', [([], '1'), ('A', '1'), ('C', '0'), ('D', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],4,7
B+A'C'+AD', [([], '1'), ('A', '1'), ('C', '0'), ('D', '1'), (('A', 'D'), '0'), (('B', 'C'), '1')],5,7
A'B'+BC', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), (('A', 'B'), '1'), (('B', 'C'), '0')],4,7
A'C'+B'C, [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), (('A', 'C'), '1'), (('B', 'C'), '0')],4,7
D+A'B'+A'C', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), (('A', 'D'), '1'), (('B', 'C'), '0')],5,7
A'B'+A'C'D', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],5,7
A'C'+A'B'D', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],5,7
AB+A'C'D', [([], '1'), ('A', '0'), ('B', '1'), ('C', '0'), (('A', 'B'), '1'), (('B', 'D'), '0')],5,7
BC+A'C'D', [([], '1'), ('A', '0'), ('B', '1'), ('C', '0'), (('B', 'C'), '1'), (('B', 'D'), '0')],5,7
B'D+A'C'D', [([], '1'), ('A', '0'), ('B', '1'), ('C', '0'), (('B', 'D'), '0'), (('C', 'D'), '1')],5,7
A'B'+BD', [([], '1'), ('A', '0'), ('B', '1'), ('D', '1'), (('A', 'B'), '1'), (('B', 'D'), '0')],4,7
C+A'B'+A'D', [([], '1'), ('A', '0'), ('B', '1'), ('D', '1'), (('A', 'C'), '1'), (('B', 'D'), '0')],5,7
A'D'+B'D, [([], '1'), ('A', '0'), ('B', '1'), ('D', '1'), (('A', 'D'), '1'), (('B', 'D'), '0')],4,7
A'D'+A'B'C', [([], '1'), ('A', '0'), ('B', '1'), ('D', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],5,7
B'C+A'C'D', [([], '1'), ('A', '0'), ('B', '1'), ('D', '0'), (('B', 'C'), '0'), (('C', 'D'), '1')],5,7
BC+A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('C', '1'), (('B', 'C'), '1'), (('C', 'D'), '0')],5,7
B+A'C'+A'D', [([], '1'), ('A', '0'), ('C', '1'), ('D', '1'), (('A', 'B'), '1'), (('C', 'D'), '0')],5,7
A'C'+CD', [([], '1'), ('A', '0'), ('C', '1'), ('D', '1'), (('A', 'C'), '1'), (('C', 'D'), '0')],4,7
A'D'+C'D, [([], '1'), ('A', '0'), ('C', '1'), ('D', '1'), (('A', 'D'), '1'), (('C', 'D'), '0')],4,7
BC'+A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), (('B', 'C'), '0'), (('B', 'D'), '1')],5,7
A+BC'+B'D', [([], '1'), ('B', '1'), ('C', '1'), ('D', '0'), (('A', 'D'), '1'), (('B', 'C'), '0')],5,7
B'C'+A'BD', [([], '1'), ('B', '1'), ('C', '0'), ('D', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],5,7
A+B'C'+BD', [([], '1'), ('B', '1'), ('C', '0'), ('D', '1'), (('A', 'C'), '1'), (('B', 'D'), '0')],5,7
B'C'+C'D', [([], '1'), ('B', '1'), ('C', '0'), ('D', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],4,7
A+B'C'+B'D', [([], '1'), ('B', '0'), ('C', '1'), ('D', '1'), (('A', 'B'), '1'), (('C', 'D'), '0')],5,7
B'C'+A'B'D', [([], '1'), ('B', '0'), ('C', '1'), ('D', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],5,7
B'D'+A'B'C', [([], '1'), ('B', '0'), ('C', '1'), ('D', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],5,7
B'C'+CD', [([], '1'), ('B', '0'), ('C', '1'), ('D', '1'), (('B', 'C'), '1'), (('C', 'D'), '0')],4,7
B'D'+C'D, [([], '1'), ('B', '0'), ('C', '1'), ('D', '1'), (('B', 'D'), '1'), (('C', 'D'), '0')],4,7
AB'+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('A', 'B'), '0'), (('A', 'C'), '1')],5,7
AC'+B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), (('A', 'C'), '0'), (('A', 'D'), '1')],5,7
