T, [([], '1'), ('A', '1')],0,1
A', [([], '1'), ('A', '0')],1,1
B', [([], '1'), ('B', '0')],1,1
C', [([], '1'), ('C', '0')],1,1
D', [([], '1'), ('D', '0')],1,1
E', [([], '1'), ('E', '0')],1,1
A, [([], '0'), ('A', '1')],1,1
F, [([], '0'), ('A', '0')],0,1
B, [([], '0'), ('B', '1')],1,1
C, [([], '0'), ('C', '1')],1,1
D, [([], '0'), ('D', '1')],1,1
E, [([], '0'), ('E', '1')],1,1
A'B', [([], '1'), ('A', '0'), ('B', '0')],2,2
A'C', [([], '1'), ('A', '0'), ('C', '0')],2,2
A'D', [([], '1'), ('A', '0'), ('D', '0')],2,2
A'E', [([], '1'), ('A', '0'), ('E', '0')],2,2
B'C', [([], '1'), ('B', '0'), ('C', '0')],2,2
B'D', [([], '1'), ('B', '0'), ('D', '0')],2,2
B'E', [([], '1'), ('B', '0'), ('E', '0')],2,2
C'D', [([], '1'), ('C', '0'), ('D', '0')],2,2
C'E', [([], '1'), ('C', '0'), ('E', '0')],2,2
D'E', [([], '1'), ('D', '0'), ('E', '0')],2,2
A+B, [([], '0'), ('A', '1'), ('B', '1')],2,2
A+C, [([], '0'), ('A', '1'), ('C', '1')],2,2
A+D, [([], '0'), ('A', '1'), ('D', '1')],2,2
A+E, [([], '0'), ('A', '1'), ('E', '1')],2,2
B+C, [([], '0'), ('B', '1'), ('C', '1')],2,2
B+D, [([], '0'), ('B', '1'), ('D', '1')],2,2
B+E, [([], '0'), ('B', '1'), ('E', '1')],2,2
C+D, [([], '0'), ('C', '1'), ('D', '1')],2,2
C+E, [([], '0'), ('C', '1'), ('E', '1')],2,2
D+E, [([], '0'), ('D', '1'), ('E', '1')],2,2
A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0')],3,3
A'B'D', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0')],3,3
A'B'E', [([], '1'), ('A', '0'), ('B', '0'), ('E', '0')],3,3
A'C'D', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0')],3,3
A'C'E', [([], '1'), ('A', '0'), ('C', '0'), ('E', '0')],3,3
A'D'E', [([], '1'), ('A', '0'), ('D', '0'), ('E', '0')],3,3
B'C'D', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0')],3,3
B'C'E', [([], '1'), ('B', '0'), ('C', '0'), ('E', '0')],3,3
B'D'E', [([], '1'), ('B', '0'), ('D', '0'), ('E', '0')],3,3
C'D'E', [([], '1'), ('C', '0'), ('D', '0'), ('E', '0')],3,3
A+B+C, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1')],3,3
A+B+D, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1')],3,3
A+B+E, [([], '0'), ('A', '1'), ('B', '1'), ('E', '1')],3,3
A+C+D, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1')],3,3
A+C+E, [([], '0'), ('A', '1'), ('C', '1'), ('E', '1')],3,3
A+D+E, [([], '0'), ('A', '1'), ('D', '1'), ('E', '1')],3,3
B+C+D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1')],3,3
B+C+E, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1')],3,3
B+D+E, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1')],3,3
C+D+E, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1')],3,3
A'+B, [([], '1'), ('A', '0'), (('A', 'B'), '1')],2,3
A'+C, [([], '1'), ('A', '0'), (('A', 'C'), '1')],2,3
A'+D, [([], '1'), ('A', '0'), (('A', 'D'), '1')],2,3
A'+E, [([], '1'), ('A', '0'), (('A', 'E'), '1')],2,3
A+B', [([], '1'), ('B', '0'), (('A', 'B'), '1')],2,3
B'+C, [([], '1'), ('B', '0'), (('B', 'C'), '1')],2,3
B'+D, [([], '1'), ('B', '0'), (('B', 'D'), '1')],2,3
B'+E, [([], '1'), ('B', '0'), (('B', 'E'), '1')],2,3
A+C', [([], '1'), ('C', '0'), (('A', 'C'), '1')],2,3
B+C', [([], '1'), ('C', '0'), (('B', 'C'), '1')],2,3
C'+D, [([], '1'), ('C', '0'), (('C', 'D'), '1')],2,3
C'+E, [([], '1'), ('C', '0'), (('C', 'E'), '1')],2,3
A+D', [([], '1'), ('D', '0'), (('A', 'D'), '1')],2,3
B+D', [([], '1'), ('D', '0'), (('B', 'D'), '1')],2,3
C+D', [([], '1'), ('D', '0'), (('C', 'D'), '1')],2,3
D'+E, [([], '1'), ('D', '0'), (('D', 'E'), '1')],2,3
A+E', [([], '1'), ('E', '0'), (('A', 'E'), '1')],2,3
B+E', [([], '1'), ('E', '0'), (('B', 'E'), '1')],2,3
C+E', [([], '1'), ('E', '0'), (('C', 'E'), '1')],2,3
D+E', [([], '1'), ('E', '0'), (('D', 'E'), '1')],2,3
AB', [([], '0'), ('A', '1'), (('A', 'B'), '0')],2,3
AC', [([], '0'), ('A', '1'), (('A', 'C'), '0')],2,3
AD', [([], '0'), ('A', '1'), (('A', 'D'), '0')],2,3
AE', [([], '0'), ('A', '1'), (('A', 'E'), '0')],2,3
A'B, [([], '0'), ('B', '1'), (('A', 'B'), '0')],2,3
BC', [([], '0'), ('B', '1'), (('B', 'C'), '0')],2,3
BD', [([], '0'), ('B', '1'), (('B', 'D'), '0')],2,3
BE', [([], '0'), ('B', '1'), (('B', 'E'), '0')],2,3
A'C, [([], '0'), ('C', '1'), (('A', 'C'), '0')],2,3
B'C, [([], '0'), ('C', '1'), (('B', 'C'), '0')],2,3
CD', [([], '0'), ('C', '1'), (('C', 'D'), '0')],2,3
CE', [([], '0'), ('C', '1'), (('C', 'E'), '0')],2,3
A'D, [([], '0'), ('D', '1'), (('A', 'D'), '0')],2,3
B'D, [([], '0'), ('D', '1'), (('B', 'D'), '0')],2,3
C'D, [([], '0'), ('D', '1'), (('C', 'D'), '0')],2,3
DE', [([], '0'), ('D', '1'), (('D', 'E'), '0')],2,3
A'E, [([], '0'), ('E', '1'), (('A', 'E'), '0')],2,3
B'E, [([], '0'), ('E', '1'), (('B', 'E'), '0')],2,3
C'E, [([], '0'), ('E', '1'), (('C', 'E'), '0')],2,3
D'E, [([], '0'), ('E', '1'), (('D', 'E'), '0')],2,3
A'B'C'D', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('D', '0')],4,4
A'B'C'E', [([], '1'), ('A', '0'), ('B', '0'), ('C', '0'), ('E', '0')],4,4
A'B'D'E', [([], '1'), ('A', '0'), ('B', '0'), ('D', '0'), ('E', '0')],4,4
A'C'D'E', [([], '1'), ('A', '0'), ('C', '0'), ('D', '0'), ('E', '0')],4,4
B'C'D'E', [([], '1'), ('B', '0'), ('C', '0'), ('D', '0'), ('E', '0')],4,4
A+B+C+D, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('D', '1')],4,4
A+B+C+E, [([], '0'), ('A', '1'), ('B', '1'), ('C', '1'), ('E', '1')],4,4
A+B+D+E, [([], '0'), ('A', '1'), ('B', '1'), ('D', '1'), ('E', '1')],4,4
A+C+D+E, [([], '0'), ('A', '1'), ('C', '1'), ('D', '1'), ('E', '1')],4,4
B+C+D+E, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), ('E', '1')],4,4
A'+B', [([], '1'), ('A', '1'), ('B', '1'), (('A', 'B'), '0')],2,4
B+AD, [([], '0'), ('A', '0'), ('B', '1'), ('D', '0'), (('A', 'D'), '1')],3,5
B+AE, [([], '0'), ('A', '0'), ('B', '1'), ('E', '0'), (('A', 'E'), '1')],3,5
C+AB, [([], '0'), ('A', '0'), ('B', '0'), ('C', '1'), (('A', 'B'), '1')],3,5
D+AB, [([], '0'), ('A', '0'), ('B', '0'), ('D', '1'), (('A', 'B'), '1')],3,5
E+AB, [([], '0'), ('A', '0'), ('B', '0'), ('E', '1'), (('A', 'B'), '1')],3,5
C+AD, [([], '0'), ('A', '0'), ('C', '1'), ('D', '0'), (('A', 'D'), '1')],3,5
C+AE, [([], '0'), ('A', '0'), ('C', '1'), ('E', '0'), (('A', 'E'), '1')],3,5
D+AC, [([], '0'), ('A', '0'), ('C', '0'), ('D', '1'), (('A', 'C'), '1')],3,5
E+AC, [([], '0'), ('A', '0'), ('C', '0'), ('E', '1'), (('A', 'C'), '1')],3,5
D+AE, [([], '0'), ('A', '0'), ('D', '1'), ('E', '0'), (('A', 'E'), '1')],3,5
E+AD, [([], '0'), ('A', '0'), ('D', '0'), ('E', '1'), (('A', 'D'), '1')],3,5
C+D+A'B, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'B'), '0')],4,5
B+D+A'C, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'C'), '0')],4,5
B+C+A'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('A', 'D'), '0')],4,5
D+BC'+B'C, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('B', 'C'), '0')],5,5
C+BD'+B'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('B', 'D'), '0')],5,5
C+D+BE', [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('B', 'E'), '0')],4,5
B+CD'+C'D, [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],5,5
B+D+CE', [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('C', 'E'), '0')],4,5
B+C+DE', [([], '0'), ('B', '1'), ('C', '1'), ('D', '1'), (('D', 'E'), '0')],4,5
C+E+A'B, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('A', 'B'), '0')],4,5
B+E+A'C, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('A', 'C'), '0')],4,5
B+C+A'E, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('A', 'E'), '0')],4,5
E+BC'+B'C, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('B', 'C'), '0')],5,5
C+E+BD', [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('B', 'D'), '0')],4,5
C+BE'+B'E, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('B', 'E'), '0')],5,5
B+E+CD', [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('C', 'D'), '0')],4,5
B+CE'+C'E, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('C', 'E'), '0')],5,5
B+C+D'E, [([], '0'), ('B', '1'), ('C', '1'), ('E', '1'), (('D', 'E'), '0')],4,5
B+CD, [([], '0'), ('B', '1'), ('C', '0'), ('D', '0'), (('C', 'D'), '1')],3,5
B+CE, [([], '0'), ('B', '1'), ('C', '0'), ('E', '0'), (('C', 'E'), '1')],3,5
D+E+A'B, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('A', 'B'), '0')],4,5
B+E+A'D, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('A', 'D'), '0')],4,5
B+D+A'E, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('A', 'E'), '0')],4,5
D+E+BC', [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('B', 'C'), '0')],4,5
E+BD'+B'D, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('B', 'D'), '0')],5,5
D+BE'+B'E, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('B', 'E'), '0')],5,5
B+E+C'D, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('C', 'D'), '0')],4,5
B+D+C'E, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('C', 'E'), '0')],4,5
B+DE'+D'E, [([], '0'), ('B', '1'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],5,5
B+DE, [([], '0'), ('B', '1'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],3,5
C+BD, [([], '0'), ('B', '0'), ('C', '1'), ('D', '0'), (('B', 'D'), '1')],3,5
C+BE, [([], '0'), ('B', '0'), ('C', '1'), ('E', '0'), (('B', 'E'), '1')],3,5
D+BC, [([], '0'), ('B', '0'), ('C', '0'), ('D', '1'), (('B', 'C'), '1')],3,5
E+BC, [([], '0'), ('B', '0'), ('C', '0'), ('E', '1'), (('B', 'C'), '1')],3,5
D+BE, [([], '0'), ('B', '0'), ('D', '1'), ('E', '0'), (('B', 'E'), '1')],3,5
E+BD, [([], '0'), ('B', '0'), ('D', '0'), ('E', '1'), (('B', 'D'), '1')],3,5
D+E+A'C, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('A', 'C'), '0')],4,5
C+E+A'D, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('A', 'D'), '0')],4,5
C+D+A'E, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('A', 'E'), '0')],4,5
D+E+B'C, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('B', 'C'), '0')],4,5
C+E+B'D, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('B', 'D'), '0')],4,5
C+D+B'E, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('B', 'E'), '0')],4,5
E+CD'+C'D, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('C', 'D'), '0')],5,5
D+CE'+C'E, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('C', 'E'), '0')],5,5
C+DE'+D'E, [([], '0'), ('C', '1'), ('D', '1'), ('E', '1'), (('D', 'E'), '0')],5,5
C+DE, [([], '0'), ('C', '1'), ('D', '0'), ('E', '0'), (('D', 'E'), '1')],3,5
D+CE, [([], '0'), ('C', '0'), ('D', '1'), ('E', '0'), (('C', 'E'), '1')],3,5
E+CD, [([], '0'), ('C', '0'), ('D', '0'), ('E', '1'), (('C', 'D'), '1')],3,5
AB'+A'C, [([], '0'), ('A', '1'), ('C', '1'), (('A', 'B', 'C'), '0')],4,5
AB'+A'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'B', 'D'), '0')],4,5
AC'+A'D, [([], '0'), ('A', '1'), ('D', '1'), (('A', 'C', 'D'), '0')],4,5
AB'+A'E, [([], '0'), ('A', '1'), ('E', '1'), (('A', 'B', 'E'), '0')],4,5
AC'+A'E, [([], '0'), ('A', '1'), ('E', '1'), (('A', 'C', 'E'), '0')],4,5
AD'+A'E, [([], '0'), ('A', '1'), ('E', '1'), (('A', 'D', 'E'), '0')],4,5
A'B+A'C, [([], '0'), ('B', '1'), ('C', '1'), (('A', 'B', 'C'), '0')],4,5
A'B+A'D, [([], '0'), ('B', '1'), ('D', '1'), (('A', 'B', 'D'), '0')],4,5
BC'+B'D, [([], '0'), ('B', '1'), ('D', '1'), (('B', 'C', 'D'), '0')],4,5
A'B+A'E, [([], '0'), ('B', '1'), ('E', '1'), (('A', 'B', 'E'), '0')],4,5
BC'+B'E, [([], '0'), ('B', '1'), ('E', '1'), (('B', 'C', 'E'), '0')],4,5
BD'+B'E, [([], '0'), ('B', '1'), ('E', '1'), (('B', 'D', 'E'), '0')],4,5
A'C+A'D, [([], '0'), ('C', '1'), ('D', '1'), (('A', 'C', 'D'), '0')],4,5
B'C+B'D, [([], '0'), ('C', '1'), ('D', '1'), (('B', 'C', 'D'), '0')],4,5
A'C+A'E, [([], '0'), ('C', '1'), ('E', '1'), (('A', 'C', 'E'), '0')],4,5
B'C+B'E, [([], '0'), ('C', '1'), ('E', '1'), (('B', 'C', 'E'), '0')],4,5
CD'+C'E, [([], '0'), ('C', '1'), ('E', '1'), (('C', 'D', 'E'), '0')],4,5
A'D+A'E, [([], '0'), ('D', '1'), ('E', '1'), (('A', 'D', 'E'), '0')],4,5
B'D+B'E, [([], '0'), ('D', '1'), ('E', '1'), (('B', 'D', 'E'), '0')],4,5
C'D+C'E, [([], '0'), ('D', '1'), ('E', '1'), (('C', 'D', 'E'), '0')],4,5
A'+B+C, [([], '1'), ('A', '0'), (('A', 'B'), '1'), (('A', 'C'), '1')],3,5
A'+B+D, [([], '1'), ('A', '0'), (('A', 'B'), '1'), (('A', 'D'), '1')],3,5
A'+B+E, [([], '1'), ('A', '0'), (('A', 'B'), '1'), (('A', 'E'), '1')],3,5
A'+C+D, [([], '1'), ('A', '0'), (('A', 'C'), '1'), (('A', 'D'), '1')],3,5
A'+C+E, [([], '1'), ('A', '0'), (('A', 'C'), '1'), (('A', 'E'), '1')],3,5
A'B'+AC, [([], '1'), ('A', '0'), (('A', 'C'), '1'), (('B', 'C'), '0')],4,5
A'+D+E, [([], '1'), ('A', '0'), (('A', 'D'), '1'), (('A', 'E'), '1')],3,5
A'B'+AD, [([], '1'), ('A', '0'), (('A', 'D'), '1'), (('B', 'D'), '0')],4,5
A'C'+AD, [([], '1'), ('A', '0'), (('A', 'D'), '1'), (('C', 'D'), '0')],4,5
A'B'+AE, [([], '1'), ('A', '0'), (('A', 'E'), '1'), (('B', 'E'), '0')],4,5
A'C'+AE, [([], '1'), ('A', '0'), (('A', 'E'), '1'), (('C', 'E'), '0')],4,5
A'D'+AE, [([], '1'), ('A', '0'), (('A', 'E'), '1'), (('D', 'E'), '0')],4,5
A+B'+C, [([], '1'), ('B', '0'), (('A', 'B'), '1'), (('B', 'C'), '1')],3,5
A+B'+D, [([], '1'), ('B', '0'), (('A', 'B'), '1'), (('B', 'D'), '1')],3,5
A+B'+E, [([], '1'), ('B', '0'), (('A', 'B'), '1'), (('B', 'E'), '1')],3,5
A'B'+A'C, [([], '1'), ('B', '0'), (('A', 'C'), '0'), (('B', 'C'), '1')],4,5
A'B'+A'D, [([], '1'), ('B', '0'), (('A', 'D'), '0'), (('B', 'D'), '1')],4,5
A'B'+A'E, [([], '1'), ('B', '0'), (('A', 'E'), '0'), (('B', 'E'), '1')],4,5
B'+C+D, [([], '1'), ('B', '0'), (('B', 'C'), '1'), (('B', 'D'), '1')],3,5
B'+C+E, [([], '1'), ('B', '0'), (('B', 'C'), '1'), (('B', 'E'), '1')],3,5
B'+D+E, [([], '1'), ('B', '0'), (('B', 'D'), '1'), (('B', 'E'), '1')],3,5
B'C'+BD, [([], '1'), ('B', '0'), (('B', 'D'), '1'), (('C', 'D'), '0')],4,5
B'C'+BE, [([], '1'), ('B', '0'), (('B', 'E'), '1'), (('C', 'E'), '0')],4,5
B'D'+BE, [([], '1'), ('B', '0'), (('B', 'E'), '1'), (('D', 'E'), '0')],4,5
A'B+A'C', [([], '1'), ('C', '0'), (('A', 'B'), '0'), (('B', 'C'), '1')],4,5
A+B+C', [([], '1'), ('C', '0'), (('A', 'C'), '1'), (('B', 'C'), '1')],3,5
A+C'+D, [([], '1'), ('C', '0'), (('A', 'C'), '1'), (('C', 'D'), '1')],3,5
A+C'+E, [([], '1'), ('C', '0'), (('A', 'C'), '1'), (('C', 'E'), '1')],3,5
A'C'+A'D, [([], '1'), ('C', '0'), (('A', 'D'), '0'), (('C', 'D'), '1')],4,5
A'C'+A'E, [([], '1'), ('C', '0'), (('A', 'E'), '0'), (('C', 'E'), '1')],4,5
B+C'+D, [([], '1'), ('C', '0'), (('B', 'C'), '1'), (('C', 'D'), '1')],3,5
B+C'+E, [([], '1'), ('C', '0'), (('B', 'C'), '1'), (('C', 'E'), '1')],3,5
B'C'+B'D, [([], '1'), ('C', '0'), (('B', 'D'), '0'), (('C', 'D'), '1')],4,5
B'C'+B'E, [([], '1'), ('C', '0'), (('B', 'E'), '0'), (('C', 'E'), '1')],4,5
C'+D+E, [([], '1'), ('C', '0'), (('C', 'D'), '1'), (('C', 'E'), '1')],3,5
C'D'+CE, [([], '1'), ('C', '0'), (('C', 'E'), '1'), (('D', 'E'), '0')],4,5
A'B+A'D', [([], '1'), ('D', '0'), (('A', 'B'), '0'), (('B', 'D'), '1')],4,5
A'C+A'D', [([], '1'), ('D', '0'), (('A', 'C'), '0'), (('C', 'D'), '1')],4,5
A+B+D', [([], '1'), ('D', '0'), (('A', 'D'), '1'), (('B', 'D'), '1')],3,5
A+C+D', [([], '1'), ('D', '0'), (('A', 'D'), '1'), (('C', 'D'), '1')],3,5
A+D'+E, [([], '1'), ('D', '0'), (('A', 'D'), '1'), (('D', 'E'), '1')],3,5
A'D'+A'E, [([], '1'), ('D', '0'), (('A', 'E'), '0'), (('D', 'E'), '1')],4,5
B'C+B'D', [([], '1'), ('D', '0'), (('B', 'C'), '0'), (('C', 'D'), '1')],4,5
B+C+D', [([], '1'), ('D', '0'), (('B', 'D'), '1'), (('C', 'D'), '1')],3,5
B+D'+E, [([], '1'), ('D', '0'), (('B', 'D'), '1'), (('D', 'E'), '1')],3,5
B'D'+B'E, [([], '1'), ('D', '0'), (('B', 'E'), '0'), (('D', 'E'), '1')],4,5
C+D'+E, [([], '1'), ('D', '0'), (('C', 'D'), '1'), (('D', 'E'), '1')],3,5
C'D'+C'E, [([], '1'), ('D', '0'), (('C', 'E'), '0'), (('D', 'E'), '1')],4,5
A'B+A'E', [([], '1'), ('E', '0'), (('A', 'B'), '0'), (('B', 'E'), '1')],4,5
A'C+A'E', [([], '1'), ('E', '0'), (('A', 'C'), '0'), (('C', 'E'), '1')],4,5
A'D+A'E', [([], '1'), ('E', '0'), (('A', 'D'), '0'), (('D', 'E'), '1')],4,5
A+B+E', [([], '1'), ('E', '0'), (('A', 'E'), '1'), (('B', 'E'), '1')],3,5
A+C+E', [([], '1'), ('E', '0'), (('A', 'E'), '1'), (('C', 'E'), '1')],3,5
A+D+E', [([], '1'), ('E', '0'), (('A', 'E'), '1'), (('D', 'E'), '1')],3,5
B'C+B'E', [([], '1'), ('E', '0'), (('B', 'C'), '0'), (('C', 'E'), '1')],4,5
B'D+B'E', [([], '1'), ('E', '0'), (('B', 'D'), '0'), (('D', 'E'), '1')],4,5
B+C+E', [([], '1'), ('E', '0'), (('B', 'E'), '1'), (('C', 'E'), '1')],3,5
B+D+E', [([], '1'), ('E', '0'), (('B', 'E'), '1'), (('D', 'E'), '1')],3,5
C'D+C'E', [([], '1'), ('E', '0'), (('C', 'D'), '0'), (('D', 'E'), '1')],4,5
C+D+E', [([], '1'), ('E', '0'), (('C', 'E'), '1'), (('D', 'E'), '1')],3,5
AB'C', [([], '0'), ('A', '1'), (('A', 'B'), '0'), (('A', 'C'), '0')],3,5
AB'D', [([], '0'), ('A', '1'), (('A', 'B'), '0'), (('A', 'D'), '0')],3,5
AB'E', [([], '0'), ('A', '1'), (('A', 'B'), '0'), (('A', 'E'), '0')],3,5
AC'D', [([], '0'), ('A', '1'), (('A', 'C'), '0'), (('A', 'D'), '0')],3,5
AC'E', [([], '0'), ('A', '1'), (('A', 'C'), '0'), (('A', 'E'), '0')],3,5
AD'E', [([], '0'), ('A', '1'), (('A', 'D'), '0'), (('A', 'E'), '0')],3,5
A'BC', [([], '0'), ('B', '1'), (('A', 'B'), '0'), (('B', 'C'), '0')],3,5
A'BD', [([], '0'), ('B', '1'), (('A', 'B'), '0'), (('B', 'D'), '0')],3,5
A'BE', [([], '0'), ('B', '1'), (('A', 'B'), '0'), (('B', 'E'), '0')],3,5
BC'D', [([], '0'), ('B', '1'), (('B', 'C'), '0'), (('B', 'D'), '0')],3,5
BC'E', [([], '0'), ('B', '1'), (('B', 'C'), '0'), (('B', 'E'), '0')],3,5
BD'E', [([], '0'), ('B', '1'), (('B', 'D'), '0'), (('B', 'E'), '0')],3,5
A'B'C, [([], '0'), ('C', '1'), (('A', 'C'), '0'), (('B', 'C'), '0')],3,5
A'CD', [([], '0'), ('C', '1'), (('A', 'C'), '0'), (('C', 'D'), '0')],3,5
A'CE', [([], '0'), ('C', '1'), (('A', 'C'), '0'), (('C', 'E'), '0')],3,5
B'CD', [([], '0'), ('C', '1'), (('B', 'C'), '0'), (('C', 'D'), '0')],3,5
B'CE', [([], '0'), ('C', '1'), (('B', 'C'), '0'), (('C', 'E'), '0')],3,5
CD'E', [([], '0'), ('C', '1'), (('C', 'D'), '0'), (('C', 'E'), '0')],3,5
A'B'D, [([], '0'), ('D', '1'), (('A', 'D'), '0'), (('B', 'D'), '0')],3,5
A'C'D, [([], '0'), ('D', '1'), (('A', 'D'), '0'), (('C', 'D'), '0')],3,5
A'DE', [([], '0'), ('D', '1'), (('A', 'D'), '0'), (('D', 'E'), '0')],3,5
B'C'D, [([], '0'), ('D', '1'), (('B', 'D'), '0'), (('C', 'D'), '0')],3,5
B'DE', [([], '0'), ('D', '1'), (('B', 'D'), '0'), (('D', 'E'), '0')],3,5
C'DE', [([], '0'), ('D', '1'), (('C', 'D'), '0'), (('D', 'E'), '0')],3,5
A'B'E, [([], '0'), ('E', '1'), (('A', 'E'), '0'), (('B', 'E'), '0')],3,5
A'C'E, [([], '0'), ('E', '1'), (('A', 'E'), '0'), (('C', 'E'), '0')],3,5
A'D'E, [([], '0'), ('E', '1'), (('A', 'E'), '0'), (('D', 'E'), '0')],3,5
B'C'E, [([], '0'), ('E', '1'), (('B', 'E'), '0'), (('C', 'E'), '0')],3,5
B'D'E, [([], '0'), ('E', '1'), (('B', 'E'), '0'), (('D', 'E'), '0')],3,5
C'D'E, [([], '0'), ('E', '1'), (('C', 'E'), '0'), (('D', 'E'), '0')],3,5
AB'+A'C'D', [([], '1'), ('A', '1'), ('B', '1'), ('C', '0'), ('D', '0'), (('A', 'B'), '0')],5,6
AB'+A'C'E', [([], '1'), ('A', '1'), ('B', '1'), ('C', '0'), ('E', '0'), (('A', 'B'), '0')],5,6
AB'+A'D'E', [([], '1'), ('A', '1'), ('B', '1'), ('D', '0'), ('E', '0'), (('A', 'B'), '0')],5,6
AC'+A'B'D', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), ('D', '0'), (('A', 'C'), '0')],5,6
AC'+A'B'E', [([], '1'), ('A', '1'), ('B', '0'), ('C', '1'), ('E', '0'), (('A', 'C'), '0')],5,6
AD'+A'B'C', [([], '1'), ('A', '1'), ('B', '0'), ('C', '0'), ('D', '1'), (('A', 'D'), '0')],5,6
AE'+A'B'C', [([], '1'), ('A', '1'), ('B', '0'), ('C', '0'), ('E', '1'), (('A', 'E'), '0')],5,6
AD'+A'B'E', [([], '1'), ('A', '1'), ('B', '0'), ('D', '1'), ('E', '0'), (('A', 'D'), '0')],5,6
AE'+A'B'D', [([], '1'), ('A', '1'), ('B', '0'), ('D', '0'), ('E', '1'), (('A', 'E'), '0')],5,6
AC'+A'D'E', [([], '1'), ('A', '1'), ('C', '1'), ('D', '0'), ('E', '0'), (('A', 'C'), '0')],5,6
AD'+A'C'E', [([], '1'), ('A', '1'), ('C', '0'), ('D', '1'), ('E', '0'), (('A', 'D'), '0')],5,6
AE'+A'C'D', [([], '1'), ('A', '1'), ('C', '0'), ('D', '0'), ('E', '1'), (('A', 'E'), '0')],5,6
BC'+A'B'D', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), ('D', '0'), (('B', 'C'), '0')],5,6
BC'+A'B'E', [([], '1'), ('A', '0'), ('B', '1'), ('C', '1'), ('E', '0'), (('B', 'C'), '0')],5,6
BD'+A'B'C', [([], '1'), ('A', '0'), ('B', '1'), ('C', '0'), ('D', '1'), (('B', 'D'), '0')],5,6
BE'+A'B'C', [([], '1'), ('A', '0'), ('B', '1'), ('C', '0'), ('E', '1'), (('B', 'E'), '0')],5,6
BD'+A'B'E', [([], '1'), ('A', '0'), ('B', '1'), ('D', '1'), ('E', '0'), (('B', 'D'), '0')],5,6
BE'+A'B'D', [([], '1'), ('A', '0'), ('B', '1'), ('D', '0'), ('E', '1'), (('B', 'E'), '0')],5,6
CD'+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '1'), ('D', '1'), (('C', 'D'), '0')],5,6
CE'+A'B'C', [([], '1'), ('A', '0'), ('B', '0'), ('C', '1'), ('E', '1'), (('C', 'E'), '0')],5,6
